date: 2006-02-07 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.03988603988604211, exp3: -0.007977207977208424
date: 2006-02-08 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.11535356653990192, exp3: -0.029452479689747124
date: 2006-02-09 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.167581954313615, exp3: -0.057078374614520706
date: 2006-02-10 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.19941236613143687, exp3: -0.08554517291790395
date: 2006-02-13 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.25877330103346097, exp3: -0.12019079854101536
date: 2006-02-14 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.33344338710137933, exp3: -0.16284131625308818
date: 2006-02-15 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.39612275290098964, exp3: -0.2094976035826685
date: 2006-02-16 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.47023203518538637, exp3: -0.2616444899032121
date: 2006-02-17 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.4918250311321444, exp3: -0.30768059814899856
date: 2006-02-21 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.45288128142730955, exp3: -0.33672073480466075
date: 2006-02-22 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.43316323318732586, exp3: -0.35600923448119376
date: 2006-02-23 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.43670984982251326, exp3: -0.37214935754945766
date: 2006-02-24 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.4065915292932658, exp3: -0.37903779189821935
date: 2006-02-27 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.3783610328182938, exp3: -0.3789024400822342
date: 2006-02-28 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.36389724952119096, exp3: -0.3759014019700256
date: 2006-03-01 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.3300705543839655, exp3: -0.3667352324528136
date: 2006-03-02 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.2934249098140427, exp3: -0.3520731679250594
date: 2006-03-03 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.2286635205732317, exp3: -0.32739123845469387
date: 2006-03-06 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.1769141664247087, exp3: -0.29729582404869687
date: 2006-03-07 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.17025118154083785, exp3: -0.2718868955471251
date: 2006-03-08 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.20457207567871194, exp3: -0.25842393157344246
