date: 2006-02-07 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.03190883190883369
date: 2006-02-08 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.0859010868501548
date: 2006-02-09 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.1105035796990943
date: 2006-02-10 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.11386719321353292
date: 2006-02-13 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.1385825024924456
date: 2006-02-14 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.17060207084829115
date: 2006-02-15 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.18662514931832114
date: 2006-02-16 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.20858754528217427
date: 2006-02-17 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.1841444329831458
date: 2006-02-21 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.1161605466226488
date: 2006-02-22 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.0771539987061321
date: 2006-02-23 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.0645604922730556
date: 2006-02-24 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.027553737395046463
date: 2006-02-27 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.0005414072639404188
date: 2006-02-28 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.012004152448834626
date: 2006-03-01 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.0366646780688481
date: 2006-03-02 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.058648258111016704
date: 2006-03-03 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.09872771788146217
